text,type,label,word_count
Hello is this John My name is Officer Johnson from the Social Security Administration Weve been trying to reach you about a problem with your social security number Its been suspended due to suspicious activity We need to verify some information to reactivate it Im not at liberty to disclose that information over the phone But I can assure you its a serious matter We need to take care of this immediately Ill need you to confirm your social security number so we can proceed with the verification process Its just a precautionary measure sir We have to make sure were speaking with the right person Ah my badge number is 54792 Now about that social security number Johnson sir Officer Johnson Uh let me check on that real quick,ssn,1,
hi peter it’s joe recycling program reminder new bins arrive tomorrow,,0,11.0
Hello my name is Karen and Im calling from Green Earth Energy How are you today Were offering a special promotion on solar panels for homes in your area Are you currently using solar energy We got it from a list of homeowners who have shown interest in renewable energy Absolutely Were a private company but we do partner with government agencies to offer incentives for people who switch to solar energy Yes of course Let me give you our website and you can check out our reviews and testimonials there Youre welcome Is there anything else I can answer for you Youre welcome Have a great day,telemarketing,0,
Hello my name is Karen and Im calling from XYZ Marketing Were offering a special deal on our new software that can help you increase your business productivity Well weve been monitoring the industry trends and we believe that many small businesses like yours can benefit from our software We purchased a list of potential clients from a reputable lead generation company Absolutely not We offer a 30day free trial and if youre satisfied with the results then we can discuss payment options Of course XYZ Marketing has been in business for over 10 years and we have thousands of satisfied clients across the country You can check out our website for testimonials and reviews Youre welcome If you have any more questions or need any assistance please dont hesitate to call us back Have a great day Bye,telemarketing,0,
Hi Im calling from XYZ Delivery Company I just wanted to confirm that your package will be delivered today between 24 pm Let me check Ah yes its a birthday gift from your aunt I apologize for the mistake It seems I have the wrong information Can you please provide me with your order number so I can look into this further We sometimes receive phone numbers from our partner companies But I assure you were a legitimate delivery company and we wouldnt use your information for any malicious purposes Thank you so much Let me just check on the status of your delivery  Yes it seems there was an error on our part and we dont have any packages scheduled for delivery to you today Ha ha no were definitely not scammers Were a real company and we care about our customers Sorry again for the confusion and any inconvenience it may have caused,delivery,0,
we’ve found match lost pet pay locator fee get info it’s small dog per database,,1,15.0
hi susan willow veterinary clinic i’m following luna’s vaccinations she’s due rabies shot next week would like schedule appointment 10am available,,0,21.0
good morning i’m calling tax refund it’s waiting deposited please provide bank details proceed direct deposit fastest i’ll need account number routing number,,1,23.0
Hello my name is Karen and Im calling from XYZ Insurance Company Were offering a special deal on health insurance for seniors Are you or anyone in your household over 65 Well theres no catch sir Its just that were trying to reach out to seniors who might not be aware of the benefits theyre eligible for The premium starts at 50 a month but we have discounts available for those who sign up within the next week If you sign up now we can give you 20 off the first years premium Absolutely XYZ Insurance has been around since 1995 and we have an A rating with the Better Business Bureau Ha ha no sir Were a legitimate company trying to help people get the insurance they need,telemarketing,0,
trip cancellation refund ready need bank info manual processing requires banking details,,1,12.0
Hi Im calling from XYZ Delivery Company I just wanted to confirm that your package is scheduled to arrive today between 24 pm Let me check Ah yes it says here that youre receiving a new laptop According to our records you paid with your Visa credit card Yes the total came out to be 129999 Youre welcome Is there anything else I can assist you with,delivery,0,
i’m dmv car registration suspended unless pay late fee i’ll provide payment,,1,12.0
Hello this is John from Windows Technical Support Weve received a notification that your computer has been infected with a virus Our systems detected unusual activity coming from your IP address I can help you remove the virus if you give me remote access to your computer Its just general malware that can cause problems with your system Dont worry about it Just let me guide you through the process and well get it fixed in no time Of course The virus is called Win32exe and its a very common problem As for verification I can give you a badge number and you can call Microsoft directly to confirm my identity Its 123456789 You can call them and ask for John and theyll confirm Im on the phone with you right now Take your time sir Like I said I need remote access to your computer Just go to this website and download the remote desktop software Its wwwremotedesktopprocom Uh its com Yes definitely com Then Ill be able to access your computer and remove the virus You wont have to do anything else Ah yes its a very new threat Were still learning about it ourselves But dont worry we have the tools to remove it Great Just click on the link and follow the prompts Ill wait on the line while you do that,support,1,
Hello this is John from Microsoft Technical Support Weve received reports of a virus on your computer We have systems in place to monitor these things Im calling to help you fix the issue Can you please tell me what kind of computer youre using Maam I assure you I am who I say I am You can verify my credentials by checking our website or contacting Microsoft directly Now lets focus on fixing your computer Can you please open the Event Viewer and tell me what errors you see Those are signs of the virus Dont worry its an easy fix I just need you to download some software so I can remote into your computer and take care of it for you Yes its completely free Its called TeamViewer Have you heard of it Ah yes well its a thirdparty tool we use to help with remote support You can trust me maam Thousands of people use it every day Just go to their website and download the software then give me the ID and password so I can access your computer,support,1,
hello could win 1000 immediate survey provide email credit card reward secure processing—we won’t charge,,1,15.0
hi jenna hi jenna kyle vet’s office i’m calling confirm max’s appointment tomorrow 10am,,0,14.0
win allinclusive holiday—verify age payment confirm,,1,6.0
Hello is this Mr Johnson My name is David and Im calling from Consumer Rewards Center Weve been trying to reach you for a while now Congratulations Mr Johnson Youve been selected to receive a 1000 gift card from one of our major sponsors Its based on your shopping habits and loyalty program participation Youre one of our top customers We just need to verify some information to ensure were sending it to the right person Can you please confirm your address and date of birth Ah its uh American Express Yes American Express is our sponsor for this promotion It started last month and were getting close to the deadline You need to act fast to claim your reward,reward,1,
hi get chance review lease agreement sure feel free ask,,0,10.0
hello apple support someone tried log apple account give apple id password secure account security updated,,1,16.0
good morning alice bank letting know new statement available online let us know questions,,0,14.0
Hello this is John from the Microsoft Refund Department Weve been trying to reach you about a refund youre owed for a software purchase Yes of course According to our records you purchased a subscription to our premium security package last year and weve issued a recall on that product Youre eligible for a full refund of 500 Absolutely Your reference number is MSRF123456 You can check on our website to verify it Well first we need to confirm some information to ensure the refund goes to the right account Can you please provide me with your bank account and routing numbers I understand your concern but this is a secure line and I assure you its necessary for the refund process If you dont provide the information we wont be able to process your refund If you dont receive your refund within 710 business days you can contact our customer service department and theyll assist you further Let me check on that for you Hold for just a moment,refund,1,
hi jane ruth book club still meeting house sunday,,0,9.0
secure online wallet sharing passcode immediately,,1,6.0
Hi my name is John and Im calling from XYZ Insurance Company How are you today Were offering a special promotion on our life insurance policies and I was wondering if youd be interested in hearing more about it Absolutely Our policies have a unique feature that allows you to adjust your coverage as needed and our rates are very competitive I completely understand your concern We take data security very seriously and are compliant with all relevant regulations We also have a thirdparty auditor that reviews our practices regularly Of course Our website is xyzinsurancecom and our office is located at 123 Main St Anytown USA,telemarketing,0,
mr hargrove hi i’m jeff metro power we’ll shutting power briefly tomorrow maintenance,,0,13.0
hi think dropped wallet outside coffee shop yep picked meet return heading,,0,12.0
hello paula law office documents ready signature,,0,7.0
we’re collecting disaster victims donate credit card phone,,1,8.0
hi ms hernandez karen dental office you’re scheduled cleaning 12th 11 let check yes 19th 1030 available,,0,17.0
hi terry car rental agency car ready pickup,,0,8.0
Hi my name is John and Im calling from XYZ Company Were offering a special deal on home security systems Are you interested in learning more Absolutely Weve been around for over 10 years and have an A rating with the Better Business Bureau Of course We have thousands of satisfied customers Let me give you our website and you can read all the reviews yourself We also have a physical address and I can give you the number of our local business license if youd like Yeah Ive heard of those guys Theyre definitely not legitimate Weve had customers come to us after dealing with them Our prices are very competitive and we always provide a free inhome consultation before signing any contracts Were offering a discount on our premium system for new customers It normally goes for 2000 but were offering it for 1500,telemarketing,0,
missed doctor appointment pay 50 cancellation fee handle billing clinics,,1,10.0
Hello my name is John and Im calling from Windows Technical Support Weve been getting some reports of malware on your computer Yes its a very serious issue I can help you fix it if you allow me to remote access your computer We have a system that detects these kinds of issues I just need you to go to this website and download a program so I can fix the problem If you dont fix this issue it could cause serious damage to your computer and compromise your personal information,support,1,
Hi Im calling from XYZ Delivery Service I just wanted to confirm that your package will be delivered today between 24 pm Let me check on that for you According to our system its a laptop you ordered from OnlineStorecom It says here that you paid 1200 My name is John and my employee ID is 1234 Is everything okay Youre welcome Well see you between 24 pm today then,delivery,0,
Hi my name is John and Im calling from SafeGuard Insurance How are you today Were offering a special promotion on our health insurance plans and Id like to discuss the benefits with you Are you currently insured Absolutely SafeGuard Insurance has an A rating with the Better Business Bureau and weve been in business for over 20 years We pride ourselves on our customer service and transparency I completely understand your concern Were very upfront about our pricing and we dont engage in those types of practices Our rates are filed with the state and we cant arbitrarily increase them without justification Would you like me to send you some information on our plans and pricing Thank you Im just trying to provide good information and let the product speak for itself If its not a good fit for you then thats okay too,insurance,0,
i’m cable provider payment didn’t go card number process,,1,9.0
you’ve missed payment online shopping order please provide card info prevent account suspension account alerts take 24 hours call help avoid delays,,1,22.0
Hello my name is John and Im calling from SafeGuard Insurance How are you today Weve been going over some data and it seems like you might be eligible for a discounted rate on your home insurance Would you be interested in hearing more about it Actually we got your information from a recent survey you took online You gave us permission to contact you about potential savings We crosschecked your info with our records and it looks like youre currently uninsured Would you like me to give you a quick quote to see if we can save you some money Thats completely fine sir We actually encourage our customers to record our calls for their own protection Okay let me just pull up your quote Ah yes It looks like we can offer you a policy for 800 a year which is significantly lower than the industry average Absolutely SafeGuard Insurance has been around since 2005 and we have an A rating with the Better Business Bureau Were also licensed in all 50 states Well Im glad I could pass the test We get a lot of those kinds of calls too so I appreciate your diligence Sounds great Ill send you an email with the quote and we can set up a followup call if youd like Thanks for your time today,insurance,0,
hi tax documents ready picked office,,0,6.0
i’m bank manager calling suspicious transfer please verify info stop handle accounts remotely help multiple branches,,1,16.0
Hi Im calling from XYZ Delivery Service I just wanted to confirm that your package is scheduled to arrive today Its a delivery of some office supplies you ordered online last week Let me check on that Can you please provide me with your order number Its from OfficeMax And I can see here that the order was placed under your name and address Because we received the order from OfficeMax and were just verifying the delivery details with our customers as a precautionary measure Great Your package should arrive between 24 pm today Is there anything else I can assist you with,delivery,0,
Hello my name is David and Im calling from the Federal Trade Commission Weve been monitoring your account and noticed that youre due for a refund of 500 Well it seems that there was an overcharge on one of your recent purchases Were issuing refunds to all affected customers Let me check on that  Ah yes it says here that you purchased a laptop from Best Buy Yes Im positive Your account information matches our records Now to process the refund Ill need you to provide me with your bank account information I apologize but our system doesnt allow us to issue checks for refunds Its much faster and more secure to deposit the funds directly into your account Honestly it was just a mistake on the part of the retailer They accidentally charged customers extra for a promotional item Were working with them to rectify the situation Uh no we have our own ways of obtaining customer information Look if you want to receive your refund I need you to focus and provide me with your account details Yes its 500,refund,1,
hi i’m local post office parcel needs signature,,0,8.0
Hello my name is John and Im calling from ABC Insurance Company Were offering a special deal on our life insurance policy Well were offering a 20 discount for new customers who sign up within the next two weeks Absolutely We have an A rating with the Better Business Bureau and a 45star rating on Trustpilot Of course Our policy number is IP12345 and you can visit our website to verify it I completely understand sir Were a licensed insurance provider and were committed to transparency and honesty in all our dealings,insurance,0,
hey dad want pick groceries work today alright i’ll grab home 6,,0,12.0
Hello is this Mrs Johnson My name is David and Im calling from Customer Service Rewards Department Weve been trying to reach you about a special promotion Youve been selected to receive a 1000 gift card from one of our major retail partners Its completely free no strings attached Our system randomly selects customers who have shown excellent payment history and responsible spending habits Youre one of the lucky ones We just need to verify some information to ensure were sending the gift card to the right person Can you please confirm your social security number for me Okay okay Let me see what else I can do Can you at least give me your bank account number so we can deposit the reward directly into your account Ah good question The gift card will indeed be mailed to you but we need to process the reward through our system and that requires a bank account number Uh let me check on that real quick  Okay yeah were an independent company that partners with various retailers to offer exclusive rewards to their customers Unfortunately our website is currently down for maintenance but I can give you a callback number if youd like to speak with my supervisor,reward,1,
good evening order new tv set ship payment failed reenter card details complete purchase,,1,14.0
good morning walt appliance store refrigerator scheduled delivery friday 10 noon,,0,11.0
hi someone pick recycling week 481 park avenue,,0,8.0
hi mrs wright paul vet’s office buddy ready pickup grooming session,,0,11.0
hi mr becker dry cleaning order ready pickup,,0,8.0
Hi my name is John and Im calling from XYZ Insurance Company How are you today Were offering a special promotion on our health insurance plans and I was wondering if youd be interested in hearing more about it Absolutely XYZ Insurance has been around for over 20 years and we have an A rating with the Better Business Bureau Were a reputable company with thousands of satisfied customers Of course Id be happy to send you some testimonials via email or even provide you with a list of local clients who would be willing to speak with you directly Ha ha no problem at all I understand people can be skeptical these days If youre still interested in learning more about our promotion Id be happy to explain the details,insurance,0,
hello medical clinic calling annual checkup need reminder call day appointment,,0,11.0
you’re finalist dream home giveaway confirm transferring funds taxes it’s standard procedure,,1,12.0
hi i’d like renew magazine subscription sure it’s 716304,,0,9.0
we’re processing insurance claim refund please share bank account info,,1,10.0
Hello this is Officer Johnson from the Social Security Administration Weve been trying to reach you about a suspicious activity on your social security number Weve had reports of someone using your number to open fraudulent accounts and steal your identity I need to verify some information to put a hold on your account Im not at liberty to disclose that information over the phone But I need you to confirm your social security number so we can proceed with the investigation I understand your concern but this is an urgent matter If you dont cooperate well have to suspend your benefits We use various methods to obtain contact information And yes this is a new initiative to combat fraud Now can I please get your social security number to move forward Hold for just a moment please,ssn,1,
Hello is this Mr Johnson My name is Officer Thompson from the Social Security Administration Weve been trying to reach you about a serious issue with your social security number Its been compromised and we need to take immediate action to protect your identity Were not entirely sure but we believe it may have been stolen in a recent data breach Can you please confirm your social security number so we can look into this further I understand your concern sir But let me assure you this is a legitimate call The breach occurred at a major retailer and affected millions of people If you dont take action your entire identity could be at risk Ah um let me check on that real quick  Okay yes it was Walmart Well like I said its a very serious situation and were working closely with all the affected parties to resolve the issue But time is of the essence Can you please just confirm your social security number so we can move forward My badge number is 8723 And if youd like I can give you a callback number to verify my identity Great Now that we have your confirmation well need to set up a new social security account for you to protect your identity This will require a small fee of 200 Its just a small administrative cost sir Completely normal procedure in these situations Of course sir Let me go ahead and transfer you to my supervisor right away,ssn,1,
hello megan bookstore holding copy novel wanted pick,,0,8.0
Hello my name is Karen and Im calling from Green Earth Cleaning Solutions How are you today Were offering a special promotion on our ecofriendly cleaning products Would you like to hear more about it Ah we got your number from a public records database Were targeting homeowners in your area who might be interested in our products Honestly Im not entirely sure Let me check with my supervisor real quick  Okay Im back My supervisor says its an optout database but we make sure to follow all the necessary regulations and remove anyone who requests to be taken off the list Were giving away a free trial of our allpurpose cleaner to new customers Its normally 20 but were offering it for free if you sign up for a subscription within the next 10 minutes Its a monthtomonth subscription so you can cancel at any time And if youre not satisfied with the product we have a 30day moneyback guarantee Ha Well Im glad I passed the test Would you like to take advantage of the promotion,telemarketing,0,
Hello is this John Hi John my name is David and Im calling from the Customer Service Department of Amazon Weve been trying to reach you regarding a refund youre owed from a recent purchase You were overcharged on your last order Yes of course According to our records you were charged an extra 200 on your credit card Our system automatically detects these kinds of errors and flags them for review Were just trying to correct the mistake and give you back your money Well we need to verify some information to process the refund Can you please confirm your credit card number and expiration date I understand your concern but for security purposes we need to verify the information with you directly Unfortunately this is a onetime offer and the refund will be cancelled if we dont get the information now,refund,1,
Hi my name is John and Im calling from ABC Insurance How are you today Were offering a new insurance policy that can save you up to 50 on your current premium Would you be interested in hearing more about it Theres no catch sir Were just trying to compete with other insurance companies by offering a more competitive rate Thats a great question Were a licensed insurance company and our policies are backed by the state department of insurance You can verify our credentials on their website Absolutely Our policy offers comprehensive coverage with a low deductible and a high coverage limit We also have a 30day moneyback guarantee if youre not satisfied,insurance,0,
